Date_Reported,Cumulative_Cases
25/07/2021,132828
01/08/2021,133036
08/08/2021,133591
15/08/2021,135140
22/08/2021,138132
29/08/2021,143174
05/09/2021,149117
12/09/2021,155293
19/09/2021,161324
26/09/2021,166690
03/10/2021,170778
10/10/2021,174168
17/10/2021,177108
24/10/2021,180623
31/10/2021,184340
07/11/2021,187994
14/11/2021,192013
21/11/2021,195523
28/11/2021,198732
05/12/2021,201045
12/12/2021,203215
19/12/2021,205224
26/12/2021,207221
02/01/2022,210224
09/01/2022,216686
16/01/2022,228777
23/01/2022,244182
30/01/2022,255741
06/02/2022,263172
13/02/2022,267551
20/02/2022,269904
27/02/2022,271314
06/03/2022,272030
13/03/2022,272552
20/03/2022,272961
27/03/2022,273318
03/04/2022,273759
10/04/2022,274108
17/04/2022,274376
24/04/2022,274685
01/05/2022,275002
08/05/2022,275266
15/05/2022,275485
22/05/2022,275774
29/05/2022,276012
05/06/2022,276274
12/06/2022,276583
19/06/2022,277026
26/06/2022,278211
03/07/2022,280851
10/07/2022,285731
17/07/2022,292456
24/07/2022,301394
31/07/2022,309278
07/08/2022,315337
14/08/2022,320086
21/08/2022,323597
28/08/2022,326815
04/09/2022,328716
11/09/2022,329696
18/09/2022,330313
25/09/2022,330762
02/10/2022,331075
09/10/2022,331297
16/10/2022,331452
23/10/2022,331593
30/10/2022,331745
06/11/2022,331900
13/11/2022,331998
20/11/2022,332119
27/11/2022,332202
04/12/2022,332277
11/12/2022,332407
18/12/2022,332538
25/12/2022,332670
01/01/2023,332794
08/01/2023,332907
15/01/2023,333064
22/01/2023,333169
29/01/2023,333219
05/02/2023,333270
12/02/2023,333321
19/02/2023,333390
26/02/2023,333483
05/03/2023,333571
12/03/2023,333651
19/03/2023,333716
26/03/2023,333799
02/04/2023,333883
09/04/2023,333992
16/04/2023,334070
23/04/2023,334090
30/04/2023,334090
07/05/2023,334090
14/05/2023,334090
21/05/2023,334090
28/05/2023,334090
04/06/2023,334090
11/06/2023,334090
18/06/2023,334090
25/06/2023,334090
02/07/2023,334090
09/07/2023,334090
16/07/2023,334090
23/07/2023,334090
30/07/2023,334090
06/08/2023,334090
13/08/2023,334090
20/08/2023,334090
27/08/2023,334090
03/09/2023,334090
10/09/2023,334090
17/09/2023,334090
24/09/2023,334090
01/10/2023,334090
08/10/2023,334090
15/10/2023,334090
22/10/2023,334090
29/10/2023,334090
05/11/2023,334196
12/11/2023,334270
19/11/2023,334331
26/11/2023,334408
03/12/2023,334450
10/12/2023,334506
17/12/2023,334555
24/12/2023,334596
31/12/2023,334596
07/01/2024,334653
14/01/2024,334752
21/01/2024,334818
28/01/2024,334863
04/02/2024,334896
11/02/2024,334923
18/02/2024,334944
25/02/2024,334959
03/03/2024,334977
10/03/2024,335006
17/03/2024,335023
24/03/2024,335025
31/03/2024,335028
07/04/2024,335031
14/04/2024,335033
21/04/2024,335038
28/04/2024,335043
05/05/2024,335047
12/05/2024,335047
19/05/2024,335047
26/05/2024,335047
02/06/2024,335047
09/06/2024,335047
16/06/2024,335047
23/06/2024,335047
30/06/2024,335047
07/07/2024,335047
14/07/2024,335047
21/07/2024,335047
28/07/2024,335047
04/08/2024,335047
11/08/2024,335047
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,0
01/03/2020,1
08/03/2020,19
15/03/2020,37
22/03/2020,139
29/03/2020,454
05/04/2020,1251
12/04/2020,1825
19/04/2020,2534
26/04/2020,3256
03/05/2020,4295
10/05/2020,5558
17/05/2020,6821
24/05/2020,8113
31/05/2020,9267
07/06/2020,10050
14/06/2020,10810
21/06/2020,11631
28/06/2020,12968
05/07/2020,15500
12/07/2020,18712
19/07/2020,22549
26/07/2020,26764
02/08/2020,30950
09/08/2020,34693
16/08/2020,38133
23/08/2020,41068
30/08/2020,43782
06/09/2020,46071
13/09/2020,48007
20/09/2020,49623
27/09/2020,50914
04/10/2020,51995
11/10/2020,52940
18/10/2020,54203
25/10/2020,55630
01/11/2020,57942
08/11/2020,61381
15/11/2020,66819
22/11/2020,73774
29/11/2020,81212
06/12/2020,87502
13/12/2020,91638
20/12/2020,94781
27/12/2020,97857
03/01/2021,100159
10/01/2021,101913
17/01/2021,103611
24/01/2021,105369
31/01/2021,107122
07/02/2021,108852
14/02/2021,110513
21/02/2021,111764
28/02/2021,112960
07/03/2021,114104
14/03/2021,115143
21/03/2021,116066
28/03/2021,116750
04/04/2021,117524
11/04/2021,118378
18/04/2021,119486
25/04/2021,120736
02/05/2021,122311
09/05/2021,123900
16/05/2021,125194
23/05/2021,126651
30/05/2021,128456
06/06/2021,130681
13/06/2021,133070
20/06/2021,135586
27/06/2021,138113
04/07/2021,141007
11/07/2021,145296
18/07/2021,152210
25/07/2021,160868
01/08/2021,171392
08/08/2021,180356
15/08/2021,186655
22/08/2021,191171
29/08/2021,194671
05/09/2021,197659
12/09/2021,199822
19/09/2021,201224
26/09/2021,202574
03/10/2021,203657
10/10/2021,204490
17/10/2021,205199
24/10/2021,205750
31/10/2021,206358
07/11/2021,207079
14/11/2021,207873
21/11/2021,208839
28/11/2021,209980
05/12/2021,211297
12/12/2021,212652
19/12/2021,214330
26/12/2021,216376
02/01/2022,218818
09/01/2022,221742
16/01/2022,225484
23/01/2022,234536
30/01/2022,249310
06/02/2022,257598
13/02/2022,261226
20/02/2022,263936
27/02/2022,264778
06/03/2022,265227
13/03/2022,265410
20/03/2022,265539
27/03/2022,265621
03/04/2022,265684
10/04/2022,265720
17/04/2022,265739
24/04/2022,265761
01/05/2022,265780
08/05/2022,265794
15/05/2022,265816
22/05/2022,265851
29/05/2022,265873
05/06/2022,265896
12/06/2022,265925
19/06/2022,265971
26/06/2022,266030
03/07/2022,266115
10/07/2022,266246
17/07/2022,266424
24/07/2022,266772
31/07/2022,267374
07/08/2022,268141
14/08/2022,269008
21/08/2022,269731
28/08/2022,270175
04/09/2022,270426
11/09/2022,270532
18/09/2022,270606
25/09/2022,270643
02/10/2022,270682
09/10/2022,270707
16/10/2022,270736
23/10/2022,270777
30/10/2022,270836
06/11/2022,270847
13/11/2022,270881
20/11/2022,270952
27/11/2022,271061
04/12/2022,271102
11/12/2022,271146
18/12/2022,271168
25/12/2022,271194
01/01/2023,271217
08/01/2023,271254
15/01/2023,271287
22/01/2023,271328
29/01/2023,271369
05/02/2023,271394
12/02/2023,271409
19/02/2023,271425
26/02/2023,271439
05/03/2023,271469
12/03/2023,271503
19/03/2023,271548
26/03/2023,271568
02/04/2023,271592
09/04/2023,271613
16/04/2023,271642
23/04/2023,271671
30/04/2023,271712
07/05/2023,271765
14/05/2023,271813
21/05/2023,271822
28/05/2023,271835
04/06/2023,271841
11/06/2023,271841
18/06/2023,271847
25/06/2023,271847
02/07/2023,271852
09/07/2023,271852
16/07/2023,271852
23/07/2023,271852
30/07/2023,271852
06/08/2023,271852
13/08/2023,271869
20/08/2023,271869
27/08/2023,271871
03/09/2023,271873
10/09/2023,271877
17/09/2023,271887
24/09/2023,271895
01/10/2023,271910
08/10/2023,271919
15/10/2023,271926
22/10/2023,271934
29/10/2023,271940
05/11/2023,271960
12/11/2023,271966
19/11/2023,271978
26/11/2023,271991
03/12/2023,272010
10/12/2023,272010
17/12/2023,272010
24/12/2023,272010
31/12/2023,272010
07/01/2024,272010
14/01/2024,272010
21/01/2024,272010
28/01/2024,272010
04/02/2024,272010
11/02/2024,272010
18/02/2024,272010
25/02/2024,272010
03/03/2024,272010
10/03/2024,272010
17/03/2024,272012
24/03/2024,272015
31/03/2024,272017
07/04/2024,272020
14/04/2024,272021
21/04/2024,272023
28/04/2024,272027
05/05/2024,272027
12/05/2024,272027
19/05/2024,272028
